customer_id,name,age,gender,city,income,transaction_id,product_id,amount,payment_mode,date,purchased,days_since_last_purchase,transaction_id_num,product_id_num,purchase_per_day,income_log,amount_log,income_power,amount_power,income_bin,frequent_buyer
915.0,Kabir,25.0,Male,Pune,96820.0,T00002,P002,1738.0,UPI,2025-05-02,1,243,2,2,7.122950819672131,11.480619191884884,7.461065514354283,1.1088628900871274,0.315790201982371,Low,1
860.0,Aarav,19.0,Female,Pune,64983.275689762064,T00005,P005,1615.0,Debit Card,2025-10-21,1,71,5,5,22.430555555555557,11.081900607147034,7.38770923908104,0.3253324981760891,0.2084451668758224,Low,0
531.0,Diya,19.0,Male,Delhi,25311.0,T00006,P005,1055.0,Credit Card,2025-10-04,1,88,6,5,11.853932584269662,10.139033870567381,6.962243464266207,-1.7851960883200542,-0.3736286411768648,Low,0
413.0,Riya,50.0,Male,Chennai,73707.0,T00007,P005,1667.616141376372,Debit Card,2025-09-10,0,112,7,5,14.757664967932497,11.207866620454752,7.419749904025627,0.5793974175226593,0.2550681203579873,Low,1
835.0,Vivaan,42.0,Female,Ahmedabad,64987.630675141,T00008,P001,2658.0,Cash,2025-06-19,1,195,8,1,13.561224489795919,11.081967620888626,7.88570539124302,0.32546930433491367,0.9810899580385314,Low,1
567.0,Isha,45.0,Male,Surat,22747.0,T00009,P006,1656.5771840523118,Cash,2025-09-28,0,94,9,6,17.437654568971702,10.03223250842669,7.413112287523227,-2.049311378582242,0.24537620276674482,Low,0
915.0,Kabir,26.0,Male,Delhi,30627.0,T00011,P005,700.0,Debit Card,2025-11-12,0,49,11,5,14.0,10.329669902233015,6.55250788703459,-1.3270446371642362,-0.8739654456196995,Low,0
402.0,Aarav,31.0,Male,Delhi,93969.0,T00012,P004,2141.0,Cash,2025-09-22,1,100,12,4,21.198019801980198,11.45073086137711,7.669495251007694,1.052190396396888,0.6327476919091134,Low,1
437.0,Diya,24.0,Female,Pune,68555.0,T00014,P002,2656.0,Debit Card,2025-09-21,1,101,14,2,26.03921568627451,11.135406208512462,7.884952945759814,0.43400254295692803,0.9798417985436676,Low,1
309.0,Aryan,38.4837260571628,Female,Surat,55920.0,T00015,P001,2055.0,Debit Card,2025-02-19,1,315,15,1,6.503164556962025,10.931695259437355,7.628517626575055,0.014216807494520237,0.5690059494526293,Low,1
