customer_id,name,age,gender,city,income,transaction_id,product_id,amount,payment_mode,date
467.0,,56.0,Female,Bangalore,357950.0,T00001,P006,960.0,Cash,2025-09-28
915.0,Kabir,25.0,Male,Pune,96820.0,T00002,P002,1738.0,UPI,2025-05-02
841.0,Vivaan,36.0,Female,Mumbai,57194.0,T00003,,1582.0,Credit Card,2025-03-29
152.0,Meera,53.0,Female,Pune,80263.0,T00004,P003,230.0,UPI,
860.0,Aarav,19.0,Female,Pune,,T00005,P005,1615.0,Debit Card,2025-10-21
531.0,Diya,19.0,Male,Delhi,25311.0,T00006,P005,1055.0,Credit Card,2025-10-04
413.0,Riya,50.0,Male,Chennai,73707.0,T00007,P005,,Debit Card,2025-09-10
835.0,Vivaan,42.0,Female,Ahmedabad,,T00008,P001,2658.0,Cash,2025-06-19
567.0,Isha,45.0,Male,Surat,22747.0,T00009,P006,,Cash,2025-09-28
144.0,Isha,20.0,Female,Ahmedabad,89092.0,T00010,P004,746.0,Debit Card,
915.0,Kabir,26.0,Male,Delhi,30627.0,T00011,P005,700.0,Debit Card,2025-11-12
402.0,Aarav,31.0,Male,Delhi,93969.0,T00012,P004,2141.0,Cash,2025-09-22
406.0,Isha,43.0,Female,Surat,88148.0,,P001,1463.0,,2025-04-02
437.0,Diya,24.0,Female,Pune,68555.0,T00014,P002,2656.0,Debit Card,2025-09-21
309.0,Aryan,,Female,Surat,55920.0,T00015,P001,2055.0,Debit Card,2025-02-19
825.0,Isha,57.0,Male,Mumbai,39457.0,T00016,P005,1121.0,Cash,2025-02-23
348.0,Riya,59.0,Male,Surat,72995.0,,P006,1600.0,Cash,2025-07-10
429.0,,35.0,Male,Pune,92409.0,T00018,P001,1679.0,Debit Card,2025-06-11
,Vivaan,27.0,Male,Bangalore,52606.0,T00019,P001,915.0,UPI,2025-09-28
558.0,Kabir,,,,60397.0,T00020,P002,1375.0,Cash,2025-07-09
978.0,Riya,57.0,Female,Pune,43247.0,T00021,P001,437.0,Debit Card,2025-02-22
446.0,Riya,,Male,Mumbai,32185.0,T00022,P002,2364.0,Credit Card,2025-09-09
493.0,Diya,58.0,Female,Pune,58044.0,T00023,P002,2162.0,UPI,2025-10-28
117.0,Aryan,18.0,Female,Ahmedabad,68984.0,T00024,,2668.0,Credit Card,2025-12-10
225.0,Diya,18.0,Male,Surat,87563.0,T00025,P003,2795.0,Cash,2025-03-04
543.0,Kabir,28.0,Female,Bangalore,595040.0,T00026,P001,491.0,Cash,2025-06-12
436.0,Riya,52.0,Female,Chennai,32666.0,,P004,1896.0,Debit Card,2025-08-19
208.0,Vivaan,58.0,Male,Surat,72251.0,T00028,P005,2282.0,,2025-07-20
154.0,Isha,25.0,Female,Kolkata,98603.0,T00029,P002,602.0,Debit Card,2025-03-03
